Handle,Title,Type,Tags,description,Fabric,Embroidery,Craft,Fit,Delivery,combined
selia-co-ordinate-set-3573,Selia Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White","This co-ordinate set is crafted from pure linen and features a white sleeveless shirt with a front button placket and a classic shirt collar. It is paired with light grey, straight-fit pants made from pure striped linen with pockets. The ensemble is adorned with multicoloured silk ribbon and silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk ribbon embroidery and silk thread embroidery.,"Silk Ribbon Embroidery, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'selia-co-ordinate-set-3573', 'Type': 'Co-ordinate Set', 'Title': 'Selia Co ordinate Set', 'description': 'This co-ordinate set is crafted from pure linen and features a white sleeveless shirt with a front button placket and a classic shirt collar. It is paired with light grey, straight-fit pants made from pure striped linen with pockets. The ensemble is adorned with multicoloured silk ribbon and silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with multicolour silk ribbon embroidery and silk thread embroidery.', 'Craft': 'Silk Ribbon Embroidery, Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
iris-co-ordinate-set-3572,Iris Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Powder Blue, Pret, Pure Linen, Sabaa","This powder blue co-ordinate set is crafted from pure linen. The loose-fit, elasticated top features a front button placket, a classic shirt collar, and full-length poet sleeves. It is paired with straight-fit pants featuring functional pockets. The ensemble is beautifully adorned with appliqué work and intricate multicolour silk thread embroidery.",Pure Linen,This piece is adorned with Applique work with multicolour silk thread embroidery.,"Appliqué Work, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'iris-co-ordinate-set-3572', 'Type': 'Co-ordinate Set', 'Title': 'Iris Co ordinate Set', 'description': 'This powder blue co-ordinate set is crafted from pure linen. The loose-fit, elasticated top features a front button placket, a classic shirt collar, and full-length poet sleeves. It is paired with straight-fit pants featuring functional pockets. The ensemble is beautifully adorned with appliqué work and intricate multicolour silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with Applique work with multicolour silk thread embroidery.', 'Craft': 'Appliqué Work, Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
alba-co-ordinate-set-3571,Alba Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Loose Fit, New, Not On Sale, Pastel Yellow, Pret, Sabaa","This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length poet sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks,"{'Handle': 'alba-co-ordinate-set-3571', 'Type': 'Co-ordinate Set', 'Title': 'Alba Co ordinate Set', 'description': 'This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length poet sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Loose Fit', 'Delivery': '4-5 Weeks'}"
eden-co-ordinate-set-3570,Eden Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Loose Fit, New, Not On Sale, Pastel Yellow, Pret, Sabaa","This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks,"{'Handle': 'eden-co-ordinate-set-3570', 'Type': 'Co-ordinate Set', 'Title': 'Eden Co ordinate Set', 'description': 'This pastel yellow co-ordinate set is crafted from handwoven silk chanderi. The loose-fit shirt features a front button placket, mandarin collar, and full-length sleeves, paired with straight-fit pants with pockets, adorned with silk thread embroidery.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Loose Fit', 'Delivery': '4-5 Weeks'}"
zafira-co-ordinate-set-3569,Zafira Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Ice Blue, Loose Fit, New, Not On Sale, Pret, Sabaa","This ice blue co-ordinate set is crafted from handwoven silk chanderi. The kaftan style top features a touch neck with knotted sleeves. It is paired with straight fit pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads.",Handwoven Silk Chanderi,"This is adorned with cotton thread embroidery, enhanced with beads.","Cotton Thread Embroidery, Bead Work",Loose Fit,4-5 Weeks,"{'Handle': 'zafira-co-ordinate-set-3569', 'Type': 'Co-ordinate Set', 'Title': 'Zafira Co ordinate Set', 'description': 'This ice blue co-ordinate set is crafted from handwoven silk chanderi. The kaftan style top features a touch neck with knotted sleeves. It is paired with straight fit pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This is adorned with cotton thread embroidery, enhanced with beads.', 'Craft': 'Cotton Thread Embroidery, Bead Work', 'Fit': 'Loose Fit', 'Delivery': '4-5 Weeks'}"
aya-co-ordinate-set-3568,Aya Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Ice Blue, Loose Fit, New, Not On Sale, Pret, Sabaa","This ice blue co-ordinate set is crafted from handwoven silk chanderi. The top features a flattering V-neckline with soft gathers at the center, full-length sleeves with gathered cuffs, and is paired with flared pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads and sequins.",Handwoven Silk Chanderi,"This is adorned with cotton thread embroidery, enhanced with beads and sequins.","Cotton Thread Embroidery, Bead Work, Sequin Embroidery",Loose Fit,4-5 Weeks,"{'Handle': 'aya-co-ordinate-set-3568', 'Type': 'Co-ordinate Set', 'Title': 'Aya Co ordinate Set', 'description': 'This ice blue co-ordinate set is crafted from handwoven silk chanderi. The top features a flattering V-neckline with soft gathers at the center, full-length sleeves with gathered cuffs, and is paired with flared pants with pockets. The set is adorned with cotton thread embroidery, enhanced with beads and sequins.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This is adorned with cotton thread embroidery, enhanced with beads and sequins.', 'Craft': 'Cotton Thread Embroidery, Bead Work, Sequin Embroidery', 'Fit': 'Loose Fit', 'Delivery': '4-5 Weeks'}"
elena-co-ordinate-set-3567,Elena Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pastel Pink, Pret, Sabaa","This pastel pink co-ordinate set is crafted from handwoven silk chanderi, features an asymmetrical shirt with a classic collar, full-length sleeves with cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'elena-co-ordinate-set-3567', 'Type': 'Co-ordinate Set', 'Title': 'Elena Co ordinate Set', 'description': 'This pastel pink co-ordinate set is crafted from handwoven silk chanderi, features an asymmetrical shirt with a classic collar, full-length sleeves with cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with silk thread embroidery.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
amina-co-ordinate-set-3566,Amina Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pastel Pink, Pret, Sabaa","This pastel pink co-ordinate set is crafted from handwoven silk chanderi. The top features a lapel collar, full-length sleeves with gathered cuffs and gathers at the sideseam. It is paired with flared pants with pockets, adorned with multicoloured silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'amina-co-ordinate-set-3566', 'Type': 'Co-ordinate Set', 'Title': 'Amina Co ordinate Set', 'description': 'This pastel pink co-ordinate set is crafted from handwoven silk chanderi. The top features a lapel collar, full-length sleeves with gathered cuffs and gathers at the sideseam. It is paired with flared pants with pockets, adorned with multicoloured silk thread embroidery.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
anisha-co-ordinate-set-3565,Anisha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pret, Sabaa, Sage Green","This sage green co-ordinate set is crafted from handwoven silk chanderi. It features a layered top with straps, paired with straight-fit pants with pockets. The ensemble is adorned with multicoloured silk ribbon embroidery, enhanced with 3D embellishments with beads and sequins.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk ribbon embroidery, enhanced 3D embroidery with beads and sequins.","Silk Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'anisha-co-ordinate-set-3565', 'Type': 'Co-ordinate Set', 'Title': 'Anisha Co ordinate Set', 'description': 'This sage green co-ordinate set is crafted from handwoven silk chanderi. It features a layered top with straps, paired with straight-fit pants with pockets. The ensemble is adorned with multicoloured silk ribbon embroidery, enhanced with 3D embellishments with beads and sequins.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk ribbon embroidery, enhanced 3D embroidery with beads and sequins.', 'Craft': 'Silk Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
mehzal-co-ordinate-set-3564,Mehzal Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, New, Not On Sale, Pret, Sabaa, Sage Green","This sage green co-ordinate set is crafted from handwoven silk chanderi. The top features a classic shirt collar, full-length sleeves with gathered cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with multicoloured silk thread embroidery.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery.,"Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks,"{'Handle': 'mehzal-co-ordinate-set-3564', 'Type': 'Co-ordinate Set', 'Title': 'Mehzal Co ordinate Set', 'description': 'This sage green co-ordinate set is crafted from handwoven silk chanderi. The top features a classic shirt collar, full-length sleeves with gathered cuffs, and is paired with straight-fit pants with pockets. Intricately adorned with multicoloured silk thread embroidery.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery, Bead Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
izel-tunic-set-3563,Izel Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Greenish-White, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Sabaa","This greenish-white A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered front yoke. Paired with tulip pants, the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk thread embroidery, enhanced with beads.","Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks,"{'Handle': 'izel-tunic-set-3563', 'Type': 'Tunic Set', 'Title': 'Izel Tunic Set', 'description': 'This greenish-white A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered front yoke. Paired with tulip pants, the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery, enhanced with beads.', 'Craft': 'Silk Thread Embroidery, Bead Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
ziana-tunic-set-3562,Ziana Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Pastel Yellow, Sabaa","This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered yoke. It is paired with tulip pants, and the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.",Handwoven Silk Chanderi,"This piece is adorned with multicolour silk thread embroidery, enhanced with beads.","Silk Thread Embroidery, Bead Work",Comfortable Fit,4-5 Weeks,"{'Handle': 'ziana-tunic-set-3562', 'Type': 'Tunic Set', 'Title': 'Ziana Tunic Set', 'description': 'This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, full sleeves, and a gathered yoke. It is paired with tulip pants, and the ensemble is adorned with multicolour silk thread embroidery, enhanced with beadwork, and finished with contrast piping.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery, enhanced with beads.', 'Craft': 'Silk Thread Embroidery, Bead Work', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
naz-tunic-set-3561,Naz Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Pastel Yellow, Sabaa","This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'naz-tunic-set-3561', 'Type': 'Tunic Set', 'Title': 'Naz Tunic Set', 'description': 'This light yellow A-line tunic set, crafted from handwoven silk chanderi, features a touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping.', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
hifza-tunic-set-3560,Hifza Tunic Set,Tunic Set,"Comfortable Fit, DLVRY 4-5 Weeks, Handwoven Silk Chanderi, Luxury Pret, Mehendi, New, Not On Sale, Pastel Pink, Sabaa","This pastel pink A-line tunic set, made from handwoven silk chanderi, features touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping",Handwoven Silk Chanderi,This piece is adorned with multicolour silk thread embroidery,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'hifza-tunic-set-3560', 'Type': 'Tunic Set', 'Title': 'Hifza Tunic Set', 'description': 'This pastel pink A-line tunic set, made from handwoven silk chanderi, features touch neckline, three-quarter sleeves, a gathered back yoke, and is paired with straight-fit pants. The ensemble is adorned with multicolour silk thread embroidery and finished with contrast piping', 'Fabric': 'Handwoven Silk Chanderi', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
